0,Vault of the Wardens: Demon's Bile,"Craft a Skaggldrynk, then go to the Vault of the Wardens and bathe the crucible in the bile of Grimoira. ","The key to a crucible like this is that it must be bathed in the foulest of fel energy. I hate to say it, but the most efficient method of accomplishing such a feat is to subject it to the bile of a demon. Yes, I said the bile of a demon. Ready to get to work? In the Vault of the Wardens, such a demon exists. An imp mother by the name of Grimoira.  The door to her room is sealed by an invisible lock. I'd suggest bringing some Skaggldrynk with you. Use it when you get to her door. "
1,Elixir Master,Bring a variety of flasks to an alchemy trainer in any capital city. ,"Elixirs are all about potency!  If you want to become an elixir master, I can teach you. I can't just train anyone, and I require proof that you are devoted before we continue.  Several flasks should be sufficient to show your dedication. Remember <name>, you can only learn ONE specialization, so if you complete your elixir training, then potion and transmutation specialization will no longer be available. "
2,The Price of the Black Market,"Collect a Silver Hair of Khadgar, a Blood of Sargeras, 5 Kaldorei Ginger Wine and 5 Moist Azsunian Feta. ","I may have what you're looking for, burettes you say? Not a very common item. For that, I require a moderate favor. Nothing too big, just a few things really. A silver hair from a high-ranking archmage. . . the blood of a titan, and, oh. . . some wine and cheese. What? ! I have appetites that need satiating. "
3,Ascending Alchemy,"Bring Funen 75 Astral Glory, 5 Primal Sargerite and a Bound Infernal Alchemist Stone. ","I've seen other alchemists come through our camp carrying interesting looking trinkets. I believe they refer to them as. . . ""alchemist stones""? I can sense the power they radiate, but they appear fel-tainted. The herb that grows on this planet is particularly good at cleansing corruption. I use it to purify the primal sargerite that's often found amongst the herbs. I'm certain that if we used a purified sargerite with one of those stones, we could elevate the power within it. "
4,Potion Master,Bring a large supply of potions to an alchemy trainer in any capital city. ,"Potions, potions, potions.  Can I teach you about potions! You're going to have to bring me samples of your work, so I know you're ready. Remember <name>, you can only learn ONE specialization, so if you complete your potion training, then elixir and transmutation specialization will no longer be available. "
5,Missing Shipments,Alchemist Deucus Valdera in Dalaran wants you to locate supplies lost near the water in Azsuna. ,"Now that we've gotten to know each other, perhaps you can lend me a hand. My weekly supply shipment was lost when my longtime courier--you know, old whatsername--was shot out of the sky over the shores of Azsuna. Surely a hardy sort like you could retrieve my lost goods. "
6,Strange Spherical Stone,Infuse the stone with several Golden Lotus. ,"This beautiful stone clearly has magical potential. . . at least to one trained in alchemy.  You are certain that with the right herbs native to Pandaria, this stone could become very useful. "
7,Maw of Souls: A Hope in Helheim,"Retrieve a crate of Dragur Dust from Heroic: Maw of Souls, craft a Flask of the Seventh Demon and return both items to Alard in Dalaran. ","For this last ingredient, well. . . <Alard begins pondering for a moment, then nods his head. >Yes, that's the only way. For this last one, you'll need to go to the land of the damned, Helheim. Well, not there exactly, but aboard the boat that ferries the dead across the Maw of Souls. Upon that boat may be the final ingredient we need. It's called Dragur Dust. Keep an eye out for it. Also, one needs to be quick when adding this ingredient. I'll need something to heighten my reflexes. "
8,A Mysterious Text,Bring the Runewritten Tome to Deucus Valdera in Dalaran. ,"You found a water-logged tome near the bones of a massive creature. Written in an unfamiliar language, the book is adorned with runes and alchemical symbols. Perhaps another alchemist would be able to tell you more. "
9,Flasking for a Favor,Seek out Barm Stonebreaker at the Ironhorn Enclave in Highmountain. ,"You know, this mixing flask didn't suffer terrible damage. I'm positive it can just be repaired. I'm no expert in glass repair, but I've heard of someone who is--a tauren by the name of Barm Stonebreaker. He's a smith by trade, but those who know him say he was born to work glass. Those tauren don't work for free, so you may be in for some work yourself. "
10,Lining the Crucible,"Gather 1 Blood of Sargeras, 1 Felhide, 2 Felwort, and 100 Yseralline Seeds. ",The first step in making this crucible useful is to restore the lining of its interior. That's going to require supplies you'll either gather yourself or obtain through trade with fellow adventurers. Felwort and yseralline seeds are familiar to herbalists. Felhide is obtained through skinning. Blood of Sargeras can be found all over the Broken Isles. 
11,Get Your Mix On,Deucus Valdera in Dalaran wants you to craft some new potions. ,"Let's see. . . potion stains on your tabard, crushed herbs on your boots. . . I know a fellow alchemist when I see one! We will do good work together, the two of us. I trust you're not averse to learning new tricks. Be sure to use my state-of-the-art alchemy table. I built her myself! "
12,Elixirs for the Bladeleafs,Bring 6 Elixirs of Lion's Strength and 2 Elixirs of Minor Defense to Syral Bladeleaf in Dolanaar. ,"Our herb and alchemy shop is booming, but my husband spends so much time mixing potions that we never have time for each other. Can you help us? If you can bring me a supply of pre-made elixirs, then I would be happy to trade with you.  I have some rare herbs that you might find useful. "
13,Testing the Calibration,Test the Malloric Burettes' calibration by crafting a variety of potions. ,"Now that you have the burettes calibrated, it's time to test them out! The only way to be sure is by crafting a sufficient quantity of a variety of potions. Glamorous work? No, but the most important reagent in alchemy is a bit of elbow grease! "
14,"Black Rook Hold: Heavy, But Helpful","Retrieve some Sabelite Sulfate from Heroic: Black Rook Hold, craft a Flask of the Countless Armies and return both items to Alard in Dalaran. ","The next ingredient on the list will supposedly add strength to the mix, according to Deucus. I've heard of it before, but haven't really used it. It's called Sabelite Sulfate, and it's said the elves of Black Rook Hold use it in their blacksmithing. Something like that won't just be lying around. You may have to delve deep into the hold to find it. And due to its weight, I may need a concoction of yours to compensate, something to give me a bit more strength. "
15,Calibration Experts,Take the Uncalibrated Malloric Burettes to skilled alchemists for calibration. ,"It will take the cooperation of several highly skilled sorts to calibrate these burettes for a variety of substances. Chemist Emmara is an old friend from the Undercity who has helped me with similar endeavors. Thunder Bluff smells like a barn to me, but Jana Winterhoof is an alchemist with exacting standards. And while I'd never travel to Booty Bay without a lock on my wallet, Tryks Pourtrue has proven reliable and fair. "
16,In With the New,Bring the newly forged High-Capacity Decoction Conduit to Deucus in Dalaran. ,"Well, here's your new conduit. Try not to break this one, I really don't feel like making another. Oh, and tell your boss, Deucus, that he owes me big time for this. "
17,Silver Filigree Flask,Fill the vial with a potent alchemical mixture. ,"You have found a beautiful silver flask decorated with ornate filigree.  With the right materials and your skill in alchemy, it could become quite magical. "
18,A Recipe for Success,Bring the torn paper back to Elric. ,"Looking it over more closely, you're convinced that this must be the missing half of the recipe you came for. An odd signature completes the recipe, signed, ""Silas Darkmoon"". Elric should be very pleased to see this once again. "
19,A Fragile Crucible,Bring the Fragile Demonsbreath Crucible to Deucus Valdera in Dalaran. ,"I have customers asking for alchemist stones, but I'm unable to make any until I replace my crucible. In order to create a new one, we'll need a few things, but first we'll need a proper container. Something that can be augmented to withstand a demon's breath. There's a place in Suramar which the Legion has occupied. There surely must be a device there we can take that will be suitable for our needs. "
20,The Emerald Nightmare: Rage Fire,Travel to the Emerald Nightmare and acquire Nythendra's Heart. ,"Now that we have all the ingredients assembled, we need one last thing. The fire of my forges burn hot, but not hot enough to work these ingredients into glass. For that, we need more heat. The heat of a dragon, to be exact. I'm aware of one that has emerged from the Emerald Dream in a corrupted state. Corrupted or not, a dragon's heart burns with enough heat to melt the strongest of materials. Bring me its heart and you'll have your conduit. "
21,Limited Supplies,Go to the Petrified Forest and reclaim 12 Used Vials. ,"Hello, <name>. It's good to see a fellow alchemist again. I've been supplying our camp with necessary potions to deal with the demons, but lately I've been running low on supplies. Normally when scouting parties go out, they return with empty vials, but as of late fewer have been returning. I try to recycle as much as I can, so you see, those vials are precious to me. If you'd be willing to go out and retrieve them, I could show you what I've been making to help combat the demons. "
22,Halls of Valor: The Prime Ingredient,"Retrieve the Eternity Sand from Heroic: Halls of Valor, craft a Flask of Ten Thousand Scars and return both items to Alard in Dalaran. ","This first ingredient can only be obtained by visiting the next realm. Fortunately for us, there's a gate in Stormheim that can take you there. In the Halls of Valor, there is a sand that's used for polishing their architecture. Eternity Sand, it's called. I'll need an ample amount of it as the base for the new glass. This ingredient won't be easy to work with either. I'll need something to keep me going, you know, keep my stamina up. "
23,Ley Hunting,Travel to key locations in Azsuna and use the Depleted Leyflame Burner to collect ley energy. ,"The leyflame burner you brought me is useless! This is why I never trust an engineer. . . The burner needs to be charged in areas that resonate with ley energy before it can be used to craft our newfound alchemy recipes. Lucky for us, Azsuna is rich with such power. "
24,Casting the First Stone,Craft a Potion of Durability and a Potion of Shifting States using the recipes given to you. ,"Hey dere <name>, gimme a hand with dis, would ya? <Kumali motions you over to her. >I got dis recipe dat I've been trying to remember de rest of, but I'm having de hardest time coming up with de right ingredients. Ya see, my partner ran off with de other half of de recipe on account of a disagreement we had. But dis stone, it's a treasure like no other. Grab some vials and start mixing dese ingredients together. Let's see if dey are de right ones. "
25,Tracking the Trackers,Kill 14 Feflame Scavengers at the Annihilan Pits. ,"<name>, have I told you about my tracking potion? Our scouts use it to track demons, especially their ""fiends"". Those particular creatures tend to consume the astral glory in the area, making it difficult to replenish our stores of the herb. If you could help thin their numbers out, it would greatly help us from having to search elsewhere for supplies. You can find many of them in the Annihilan Pits. I could also teach you the recipe for this potion for your effort. "
26,Going Underground,See Ms. ,"We're so close to replacing all my equipment, <name>. In order to make flasks again, we need to be able to precisely measure each ingredient. For that, we need to replace my burette assembly. Unfortunately, burettes aren't easy to come by. We may be able to procure some though through other means by. . . <Deucus looks around and beckons you closer. >Going underground, so to say. As in, the Black Market. Go see Ms. Xiulan. Mum's the word. "
27,A Dormant Burner,Purchase a Depleted Leyflame Burner from Hobart Grapplehammer and bring it to Deucus Valdera in Dalaran. ,I've heard that someone over in the engineering shop is selling a burner that might be usable. You could likely negotiate a fairer price than I could! The shop is just across the street. I'll make a note on your map for you. 
28,A Recipe for Success,Bring the torn paper back to Kumali. ,"Looking it over more closely, you're convinced that this must be the missing half of the recipe you came for. An odd signature completes the recipe, signed, ""Silas Darkmoon"". Kumali should be very pleased to see this once again. "
29,Neltharion's Lair: Potent Powder,Acquire Precipitating Powder in Neltharion's Lair and bring it to Deucus Valdera in Dalaran. ,"I've heard rumors that the ancient drogbar collected powder from the residue of dragon's breath. If it's true that Neltharion's Lair lies somewhere below us, it seems a likely source. Go there and try to find a replacement for my powder. "
30,Vault of the Wardens: Bendy Glass Tubes,Bring the Bendy Glass Tubes to Deucus Valdera in Dalaran. ,"You find tubing formed from a bendable sort of glass. It appears as though Grimoira was using it to suck out the insides of her victims. Its magical properties, however, would seem ideal for use on an advanced alchemy table. "
31,Trading for Dreams,Use the Nightborne Flask to craft an Ysera's Dream Draught. ,"From the look of you, I take it you're an alchemist, yes? I'd be willing to trade my services with you for a price that I deem is fair. I have been away from Suramar for some time now. I long for an Ysera's Dream Draught. To concoct it, you'll need some dreamleaf as well as the leaves of a Dreamer's Tear. One grows not to far from here in the clearing of some ruins. Take my flask, make this drink for me, and I'll do as you ask. "
