0,A Dying World,"Meet Magni Bronzebeard in Silithus, located within Kalimdor. ","Champion. Magni Bronzebeard needs your help.

Azeroth is dying. Before this war, a massive demon called Sargeras stabbed the planet with a sword.

Our planet cries out in pain while the Horde and Alliance fight amongst each other. Magni Bronzebeard believes you can help heal the planet's wounds.

Meet him in Silithus. He has set up camp where Sargeras's sword impacted our world. "
1,New Beginnings,Collect 15 Scorpion Stingers. ,"There's never been danger of centaur attack this far north before. Someone put 'em up to it, I just know it! Regardless, I'm wiped out. I had everything invested in this haul. Fortunately, there's one thing no centaur can take from me and that's goblin ingenuity! I'll start from scratch and build an empire! < Bizby spots a scorpion in the distance. >There's always a market for poison. Whatdya say, friend? "
2,Never Again! ,Obtain Gorgannon's Flaming Blade and the Seeker's Fel Spear. ,"<name>, you will see to it that this attack by the Burning Legion never comes to pass!  Go and slay these dreadlords!  Without them the rest of the demons are essentially mindless. You will find Gorgannon in Demon Fall Canyon south beyond Felfire Hill, near Mannoroth's floating, broken spear. Diathorus the Seeker resides somewhere in the barrow den atop Demon Fall Ridge. Return to me with their weapons as proof of your deeds. "
3,Mist,Escort Mist to Sentinel Arynia Cloudsbreak at the moon well near the Oracle Tree. ,"The sabercat's fur is a distinctive gray color, blending into the surrounding forest. As she lays there, you observe that she is badly wounded, with deep lacerations across her back and stomach. She raises her head and gazes at you, bright intelligence shining in blue eyes. She seems to wish to follow you. "
4,Ignition,Get the Ignition Key from Supervisor Lugwizzle. ,"I don't suppose Sputtervalve sent you? I'm in a bind here. I hopped in without realizing that I need a key to unlock the shredder's movement column. One of the other shredder operators asked me if everything was okay, and I panicked! Instead of telling him that I was missing my key, I told him there was some sort of mechanical problem. We need to get out of here on the double! Search the upper level of the derrick, Supervisor Lugwizzle should have a key for this shredder. Help me out here! "
5,Rescue the Survivors! ,"Use your Gift of the Naaru ability on one of the Draenei Survivors spread throughout Ammen Vale, then return to Zalduun at the Crash Site in Ammen Vale. ","The healing crystals are replenished, but that is not the only way we can help the injured. All draenei can tap the gift of the Naaru to heal. You must use this ability to heal one of the crash survivors. You'll find most of the survivors in the areas to the west and northwest, but the crash scattered us all over the vale. The survivors have suffered from exposure to the irradiated power crystals, so you should be able to find them by the red glow that surround them. You must save them, <name>. "
6,Naga at the Zoram Strand,Bring 20 Wrathtail Heads to Marukai along the Zoram Strand. ,"There is evil lurking here along the coast, <race>. It is the resting place of the doomed city of Zoram, long destroyed and submerged beneath the seas.  Lost, and nearly forgotten. Now, the naga have returned, and for what reason we do not know.  But reason matters little; we must defend the land we have worked so hard to claim as our own. Return to me with 20 of their heads! Throw the naga back to the depths! "
7,Tour the Trading Post,"Collect Trader's Tender from the Collector's Cache, tour the Trading Post then present this flyer to Shiri. ","<A flyer, carried by the wind, flaps into your hands. >

Rare antiquities from every corner of Azeroth! Fine goods fit for any taste!

You will not find these unique treasures anywhere else, friend.

Come see us in Orgrimmar at the Valley of Strength and gaze in wonder upon the mysteries in store for you!

--Zen' shiri Trading Post

<You squint to read the fine print. >

Be sure to present this flyer for some extra Trader's Tender! "
8,The Heart of Azeroth,Travel to the Chamber of Heart and commune with Azeroth. ,"Our world's dyin', <name>. Sargeras's sword has cut deep. Her pain is drivin' the elements into a frenzy!

I can hear Azeroth's voice, but she needs more than her speaker.

She needs her champion.

Far below us lies an ancient titan vault called the Chamber of Heart. I sense she wishes tae speak tae ye there.

Come with me into the chamber. It may be our only chance tae save her! "
9,Battle for Azeroth: Mission Statement,Receive your mission from Warchief Sylvanas Windrunner within Orgrimmar. ,"<name>! The Warchief has summoned you to undertake a mission of the utmost secrecy.

The very future of the Horde is at stake. "
10,The Darkmoon Faire,"Deliver the Free Ticket Voucher to Gelvas Grimegate, located inside the Darkmoon Faire. ","The Darkmoon Faire is coming! Experience our thrilling games, win fabulous prizes, have your fortune told! If you act right now, you can redeem this voucher for free prize tickets and a copy of the world-famous Darkmoon Adventurer's Guide to help you identify treasures in your travels! Just hand your voucher to Gelvas Grimegate located inside the Faire. Right now, the entrance to the Faire is outside Thunder Bluff in Mulgore! "
11,Sen'jin Village,Report to Master Gadrin in Sen'jin Village. ,"You've be doin' quite well for one so young. I've no doubts you'll be makin' quite da name for yarself. Go now, northwest, across da shallows ta Sen'jin Village. Dere you'll be meetin' Master Gadrin. He'll likely have a task or two for ya before ya truly make ya way out into the Durotar wilds. Please remember, <name>, we may disagree wit' the young Hellscream at times, but his intentions are noble, and it be very important that we remain united as one Horde. Make da Darkspear proud. "
12,Until Death Do Us Part,Place Clarice's Pendant on Yuriv's Tomb in Silverpine. ,"Filthy scum! Leaves me for his damn crusade. Because ""the Light is the most important thing we have against the threats the undead pose. ""Well, what about his children? ! What about ME? ! Night after night I sat patiently waiting for him. . . always second to his blasted duty! Well, witness what ""justice"" brings you, <name>! He's dead and I'm bearing the very thing he was trying to stop! Take this piece of junk and put it on his tomb at the Sepulcher. I want nothing to do with it anymore. . . or him! "
13,King of the Foulweald,Place Senani's Banner on the Foulweald Totem Mound. ,"My research has paid off. I believe that with a show of force, we can diminish the furbolgs' aggressiveness. Take this banner a short ways northeast and place it on their totem mound. They will try to destroy the banner, but hold your ground until their chief, Murgut, appears to save face for the tribe.  Bring me the totem he carries. Gather your allies, <name>. This is no task for a single <class>. "
14,Je'neu of the Earthen Ring,Bring the Befouled Water Globe to Je'neu Sancrea in Blackfathom Deeps. ,"The Earthen Ring is a shamanistic group dedicated to studying and preserving the elements.  They have forgotten more about crazy old gods, ancient legends and lore than most scholars will ever know. Lucky for you, I know someone in the Earthen Ring here in Ashenvale.  Head over to Zoram'gar Outpost on the coast of the Zoram Strand; show Je'neu Sancrea what you found.  If anyone can figure out that globe's significance, it'd be him. "
15,The Emerald Dream,Step through the Nightmare Portal in the Earthshatter Cavern and speak to Thessera. ,Our efforts in containing the destruction don't appear to be quite enough.  I fear we're going to need aid from beyond the waking world. Twilight cultists inside the Earthshatter Cavern to the east have opened a gateway to a nightmare-infested section of the Emerald Dream.  They hold a green dragon prisoner named Thessera there. Go through the nightmare portal and free her.  She will be a powerful ally. 
16,The Sleeping Druid,Bring a Shaman Voodoo Charm to Oben Rageclaw in the Ban'ethil Barrow Den. ,"The Gnarlpine shaman that inhabit this place have discovered a way of separating a sleeping druid's spirit from the physical body. The furbolg have animated my physical form and are using it to attack anyone that attempts to explore the Ban'ethil Barrow Den. I am now trapped in the Emerald Dream, powerless to stop this. You must help me. The Gnarlpine shaman carry a strange charm which is used to perform this ritual, and I'd like to examine it. Please, <name>, bring one to me. "
17,They Grow Up So Fast,Accumulate 20 Winterspring Cub Whiskers shed by your Winterspring Cub. ,"I think this little fellow will be a good match for you. This cub is going to require a lot of attention to ensure that he grows up strong and healthy. You should check up on your cub at least once each day. Feeding and caring for your Winterspring cub is the best way to build a bond of trust with him. As your cub grows, he will shed his old whiskers and grow new ones appropriate to his size. Once your cub has shed twenty whiskers, bring him back to me along with some materials for your saddle. "
18,The Stormwind Extraction,"Complete ""The Stormwind Extraction"" scenario. ","My lady is shrewd indeed. If we are to infiltrate Stormwind City, we will need the very best the Horde has to offer, and yet a team so small as to be able to infiltrate the heart of Alliance territory unseen.

<Nathanos peers at the gathered group, stroking his chin. >

Yes, I see.

The path ahead is clear. Speak to me when you are ready to undertake the Warchief's mission, <name>. "
19,The Ritual Bond,"Breathe in the incense in front of Keeper Karithus, and then choose the blessing of the Great Stag Spirit, the Great Thistle Bear Spirit, or the Great Moonstalker Spirit. ","I will tend to Grimclaw until his rest is done - he will be ready to return very soon. I have one more task for you while we wait. . . a favor to grant you, really, should you recognize it. The great wildlife spirits roam around us waiting and hoping for someone that will aid in stopping the destruction. They are with us as we speak even now, and with the materials  you brought me, I can grant you sight. Speak to these spirits, choose one, and return to me with their blessing. "
20,The Relics of Wakening,Retrieve the Relics of Wakening. ,"Gnarlpine invaders were seen ravaging the Ban'ethil Barrow Den, tucked in the hill to the west. The slumbering druids will be trapped in the Emerald Dream for eternity, unaware of their fate, unless we help. The delicate hibernation ritual cannot be broken without the Relics of Wakening. Journey to the Den and retrieve the Raven Claw Talisman, Black Feather Quill, Sapphire of Sky, and Rune of Nesting. The druids store them in sacred chests.  Return them to me and I will prepare the awakening ritual. "
21,A Legendary Engagement,Speak to Anachronos in the Caverns of Time. ,"A pleasure, <class>. < Ziradormi smiles. >It was kind of you to arrive so quickly. For reasons unknown to me, my master seeks audience with you. I would counsel you not to take this invitation lightly. Anachronos seldom has cause to interact with mortals. Wisdom would dictate that you seek him out in the Caverns of Time at once. Speak to me when you are ready and I shall personally deliver you. "
