0,Talented,Activate the Talents interface and allocate 5 Talent Points. ,"Every <class> makes use of different abilities, talents and capabilities. We differ from each other in that we have unique interests and inclinations.

When you level up in power, you can enhance and specialize your abilities through your talents, without the instruction of a trainer.

If you change your mind on these talents, you can speak with a <class> trainer to rework them. "
1,Talented,Activate the Talents interface and allocate 5 Talent Points. ,"Every <class> makes use of different abilities, talents and capabilities. We differ from each other in that we have unique interests and inclinations.

When you level up in power, you can enhance and specialize your abilities through your talents, without the instruction of a trainer.

If you change your mind on these talents, you can speak with a <class> trainer to rework them. "
2,Combat Training,Train a spell by speaking to a &lt; class&gt; trainer. ,"As you grow in power, so does your capabilities of being a skillful <class>.

There's a price to this knowledge, but I will reimburse you just this once. When you are ready, speak with me again to train your abilities. "
3,Tools for Survival,Open the survival kit and equip a weapon. ,"Before we begin, you need to be equipped with weapons and armor suited to your talents. The life of an adventurer is never dull, and you never know what will happen next!

I've prepared a survival kit for your adventures. It contains additional weapons, armor, and rations. I trust that you will make use of it well. "
4,A New Beginning,Meet with a &lt; class&gt; trainer in Acherus: The Ebon Hold. ,"A letter magically appears in the lining of your armor. It reads:

""Welcome to Acherus: The Ebon Hold, the sanctuary for all Death Knights who denounce the Lich King! ""

Meet with a <class> trainer to begin your training. They will help prepare you for your journey across Azeroth and beyond. """
5,Last Rites,Go to the Temple City of En'kilah and find the teleportation orb beneath the floating Scourge citadel of Naxxanar. ,"I served Arthas in death, because I had no choice.  He had control over my will and my body.  The Cult of the Damned serves Arthas in life. . . willingly. Now that we know the words of power to enter Naxxanar we can put an end to the cultist blight.  Go to En'kilah and look for the teleportation orb beneath the floating citadel. Work your way up and meet me at the top.  Arm yourself with what courage you can, we might not make it out of this alive. "
6,Keristrasza,Keristrasza wants you to speak to her when you are ready to prepare for a confrontation with Malygos. ,"I am. . . free? I was destined to spend an eternity roaming an empty abyss, and now am saved? You cannot fathom my gratitude, mortal. When I refused to bend to his will Malygos bound me to that prison, then shattered it and scattered the pieces. Should I live one hundred of your lifetimes, I shall not forget this kindness. Perhaps, in time, I will find ways to repay you. For now, though, we must focus our attention on Malygos. I am weak, and there is much to be done. I need your help, <name>. "
7,Just a Few More Things. . . ,"Collect Crafty's Tools, an Overcharged Capacitor, and a Handful of Rocknar's Grit. ","As you may have noticed, we created the airstrip on the southern border of a magnataur den! <Crafty says something uncharitable about Fizzcrank under her breath. >The old man has put me in charge of finding a. . . ahem. . . creative solution to this situation: if we don't deal with them soon, they'll come down here and tear us limb from limb! That's where you come in. I want you to get me everything on this shopping list. Please. "
8,Saragosa's End,"Keristrasza wants you to use the Power Focus to lure Saragosa, and then defeat her. ","Using the mana crystals you provided, I have created this Power Focus. Saragosa is a glutton. She will be unable to resist its lure. Inside it lie magics that will greatly diminish her power. Let us hope she does not see through my ruse. . . . Prepare yourself, <name>, and speak to me again when you are ready to face Saragosa. "
9,What the Cold Wind Brings. . . ,Take Ith'rix's Hardened Carapace to High Overlord Saurfang at Warsong Hold. ,"You hold the carapace fragment of Ith'rix the Harvester and realize that this is only the beginning. Even now you sense that victory is fleeting. Surely the Lich King has a thousand more beasts like Ith'rix, waiting to be unleashed upon the Horde. Take your trophy and present it to High Overlord Saurfang, inside Warsong Hold. He should be notified of your victory over a powerful Scourge agent. "
10,Preparing for the Worst,Utaik wants you to gather 8 Kaskala Supplies in Kaskala. ,"Dark times are upon us.  Karkut's spirit walks the earth and gathers the spirits of dead tuskarr. The sons of the mist have taken many of our brethren.  Soon dear Kaskala will be reduced to ashes. There is hope yet.  Not for us perhaps, but we've sent our families to Unu'pe.  We fight here so there may be a future for them. They will need supplies or they will starve.  There's not enough food in Unu'pe.  Salvage any supplies before it's too late for our families. "
11,Aces High! ,Corastrasza on the upper ring of the Nexus in Coldarra wants you to ride her drake and kill 5 Scalesworn Elites. ,"Again we meet, <race>. I confess, your presence is beginning to grow on me. Am I correct in assuming that you've come to hone your aerial combat skills? As always, my pets stand ready to bring fiery destruction to the enemy. Speak, and they shall be at your disposal. "
12,Too Close For Comfort,Endorah wants you to go to Amber Ledge north of Warsong Hold and thank those there for rescuing her. ,"I told them all that I remember. Why don't they believe me? I was gathering herbs by the rift. They came from nowhere, dark wizards with magical beasts - I was surrounded! A magical box appeared above me, opened up and pulled me inside. Just as it began to close around me, my rescuers swooped in on the backs of red drakes. It was breathtaking! I never thanked them for saving me. Please, <class>, find them, and pass on my gratitude. "
13,Hellscream's Champion,Seek out Chieftain Wintergale at Taunka'le Village. ,"You have faced all challenges that have been set before you and squashed them beneath your boot heel. It is because of you, <name>, that the Horde is now firmly entrenched in Northrend. But our work has only just begun. We must march to Icecrown and we must tear down its walls! Your next assignment begins to the east, at Taunka'le Village. Our taunka allies are in dire straits and require aid. Secure transport from the stable master, Durkot Wolfbrother, and seek out Chieftain Wintergale at Taunka'le. "
14,Springing the Trap,Raelorasz wants you to use Raelorasz' Spark at the signal fire in Coldarra. ,"We owe this opportunity in great part to your efforts, <name>. It is only fitting that you initiate the attack on Malygos. Take this spark and use it to light the signal fire northwest of the Nexus. Keristrasza will direct you from there. "
15,Drake Hunt,Raelorasz wants you to use the Blood-tipped Spear to subdue a Nexus Drake Hatchling and return it to him at the Transitus Shield. ,"I need more drake hatchlings to continue researching the runes covering their bodies. They can be found around the northwest edge of the valley. . . . < Raelorasz pokes his hand with a spear and coats the tip with his blood. >Take this and use it on one of them. Wait for it to become subdued, then bring it here to me before it expires. "
16,Bait and Switch,Keristrasza has asked you to collect 10 Crystalized Mana Shards from around Coldarra. ,"During my captivity I was able to learn much about Malygos. Fate now allows us to use this knowledge against him. There is a great blue dragon, Saragosa, who circles high above the Nexus. She serves both as the aspect's guardian and as his consort. If any serious threats arise, she alerts her master of the danger. I suffered greatly at the hand of Saragosa during my captivity, and now her time to die has come. First, however, we must fashion the perfect bait. . . . "
